ID,BIOMETRIC_CODE,ATTENDANCE_DATE,PUNCH_RECORD,STATUS,INSERTED_ON,REMARKS
1140,1750,2021-06-28,"20:44:in(HARNESS),20:49:(HARNESS),21:00:in(ME(Attendance)),07:00:out(HARNESS),",P,2021-07-02 14:26:23.970,NULL
1141,4657,2021-06-02,"08:00:in(ME(Attendance)),09:00:in(ME(Attendance)),12:16:out(ME(Attendance)),17:26:in(ME(Attendance)),05:00:out(ME(Attendance)),",P,2021-07-02 14:50:47.347,NULL
1142,4657,2021-06-03,"08:00:in(ME(Attendance)),09:00:in(ME(Attendance)),12:18:out(ME(Attendance)),13:09:in(ME(Attendance)),20:02:out(ME(Attendance)),",P,2021-07-02 14:50:47.347,NULL
1143,8015,2021-06-04,"09:00:in(ME(Attendance)),15:30:out(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-02 14:51:52.367,NULL
1144,8017,2021-06-04,"09:00:in(ME(Attendance)),15:30:out(ME(Attendance)),20:37:out(ME(Attendance)),",P,2021-07-02 14:51:56.163,NULL
1145,8073,2021-06-03,"09:00:in(ME(Attendance)),11:32:out(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-02 14:52:42.030,NULL
1146,8075,2021-06-02,"09:00:in(ME(Attendance)),09:33:in(ME(Attendance)),18:00:out(ME(Attendance)),",P,2021-07-02 14:52:45.027,NULL
1147,5018,2021-06-03,"09:00:in(ME(Attendance)),19:30:out(ME(Attendance)),19:44:out(ME(Attendance)),",P,2021-07-02 14:53:54.467,NULL
1148,5023,2021-06-03,"09:00:in(ME(Attendance)),19:30:out(ME(Attendance)),19:44:out(ME(Attendance)),",P,2021-07-02 14:54:00.187,NULL
1149,5012,2021-06-03,"09:00:in(ME(Attendance)),12:07:out(ME(Attendance)),12:07:out(ME(Attendance)),13:57:in(ME(Attendance)),13:57:in(ME(Attendance)),19:30:out(ME(Attendance)),19:44:out(ME(Attendance)),",P,2021-07-02 14:54:09.403,NULL
1150,8503,2021-06-03,"09:00:in(ME(Attendance)),19:30:out(ME(Attendance)),19:44:out(ME(Attendance)),",P,2021-07-02 14:54:17.150,NULL
1151,27887,2021-06-14,"09:00:in(ME(Attendance)),11:00:in(ME(Attendance)),19:36:out(ME(Attendance)),",P,2021-07-02 14:56:15.830,NULL
1179,2852,2021-06-19,"07:04:in(QC/STR/GMD),07:11:out(QC/STR/GMD),19:30:in(QC/STR/GMD),",P,2021-07-04 05:56:49.647,NULL
1180,4013,2021-06-24,"07:36:in(MF/Ma/Mt1/HT),18:53:out(MF/Ma/Mt1/HT),04:59:out(ME(Attendance)),",P,2021-07-04 05:59:43.240,NULL
1181,4623,2021-06-16,"09:00:in(ME(Attendance)),17:35:out(ME(Attendance)),01:30:out(ME(Attendance)),",P,2021-07-04 06:04:12.830,NULL
1182,4707,2021-06-04,"09:00:in(ME(Attendance)),10:30:out(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-04 06:08:00.240,NULL
1183,8016,2021-06-10,"09:00:in(ME(Attendance)),13:24:in(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-04 06:08:51.980,NULL
1184,8016,2021-06-12,"09:00:in(ME(Attendance)),10:28:out(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-04 06:08:52.120,NULL
1185,8035,2021-06-10,"09:00:in(ME(Attendance)),19:30:out(ME(Attendance)),19:35:in(ME(Attendance)),20:30:in(ME(Attendance)),05:30:out(SE),",P,2021-07-04 06:09:24.940,NULL
1186,8063,2021-06-05,"07:00:in(ME(Attendance)),09:00:in(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-04 06:09:46.797,NULL
1187,4826,2021-06-02,"09:00:in(ME(Attendance)),10:37:out(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-04 06:11:30.973,NULL
1188,5020,2021-06-03,"09:00:in(ME(Attendance)),19:30:out(ME(Attendance)),19:44:out(ME(Attendance)),",P,2021-07-04 06:12:31.213,NULL
1189,5020,2021-06-05,"09:00:in(ME(Attendance)),09:52:out(ME(Attendance)),10:12:in(ME(Attendance)),17:30:out(ME(Attendance)),18:02:out(ME(Attendance)),",P,2021-07-04 06:12:31.337,NULL
1190,25010,2021-06-19,"20:49:in(UNIT 2),21:00:in(ME(Attendance)),08:24:out(UNIT 2),",P,2021-07-04 06:13:08.237,NULL
1191,26121,2021-06-15,"09:00:in(ME(Attendance)),14:24:out(ME(Attendance)),17:30:out(ME(Attendance)),",P,2021-07-04 06:21:03.693,NULL
1192,26202,2021-06-13,"07:00:in(ME(Attendance)),07:30:out(ME(Attendance)),15:10:out(ME(Attendance)),",P,2021-07-04 06:22:42.267,NULL
1193,27590,2021-06-12,"09:00:in(ME(Attendance)),09:40:in(ME(Attendance)),19:30:out(ME(Attendance)),",P,2021-07-04 06:26:21.273,NULL
1194,27641,2021-06-06,"07:00:in(ME(Attendance)),07:30:out(ME(Attendance)),15:11:out(ME(Attendance)),",P,2021-07-04 06:26:36.113,NULL
1195,27691,2021-06-12,"09:00:in(ME(Attendance)),09:40:in(ME(Attendance)),20:30:out(ME(Attendance)),",P,2021-07-04 06:27:13.793,NULL
1196,27887,2021-06-14,"09:00:in(ME(Attendance)),11:00:in(ME(Attendance)),19:36:out(ME(Attendance)),",P,2021-07-04 06:28:23.217,NULL
1197,27902,2021-06-11,"07:00:in(ME(Attendance)),12:58:out(ME(Attendance)),13:22:in(ME(Attendance)),15:30:out(ME(Attendance)),05:29:out(ME(Attendance)),",P,2021-07-04 06:28:30.950,NULL
1198,26236,2021-06-30,"17:34:in(B-24),17:42:out(ME(Attendance)),09:03:in(B-24),",P,2021-07-04 06:28:53.103,NULL
1199,4312,2021-06-29,"19:31:in(MS/TR03),07:03:out(MS/TR03),16:03:in(MS/TR03),",P,2021-07-04 06:35:48.930,NULL
1200,2910,2021-06-24,"19:30:in(MS/TR03),07:00:out(MS/TR03),16:00:in(MS/TR03),",P,2021-07-04 06:36:21.550,NULL
1201,3033,2021-06-24,"19:30:in(MS/TR03),06:52:out(MS/TR03),13:46:in(MS/TR03),",P,2021-07-04 06:36:44.607,NULL
1202,2917,2021-06-19,"19:00:in(MS/TR03),06:56:out(MS/TR03),15:30:in(MS/TR03),",P,2021-07-04 06:36:51.920,NULL
1203,2804,2021-06-24,"19:31:in(MS/TR03),07:01:out(MS/TR03),15:48:in(MS/TR03),",P,2021-07-04 06:37:01.307,NULL
1204,4338,2021-06-25,"07:38:in(MS/TR03),19:36:out(MS/TR03),22:13:in(MS/TR03),",P,2021-07-04 06:37:23.647,NULL
1205,4338,2021-06-26,"07:37:in(MS/TR03),18:51:out(MS/TR03),03:31:in(MS/TR03),",P,2021-07-04 06:37:23.647,NULL
1206,2883,2021-06-26,"19:43:in(PRESS SHOP),06:58:out(PRESS SHOP),15:35:in(PRESS SHOP),",P,2021-07-04 06:37:58.670,NULL
1207,16027,2021-06-26,"19:30:in(PRESS SHOP),07:03:out(PRESS SHOP),15:01:in(PRESS SHOP),",P,2021-07-04 06:38:12.433,NULL
1208,2829,2021-06-26,"19:33:in(PRESS SHOP),06:48:out(PRESS SHOP),15:35:in(PRESS SHOP),",P,2021-07-04 06:38:22.183,NULL
1209,2915,2021-06-25,"07:30:in(PRESS SHOP),18:47:out(PRESS SHOP),05:31:in(PRESS SHOP),",P,2021-07-04 06:38:55.393,NULL
1210,2852,2021-06-19,"07:04:in(PRESS SHOP),07:11:out(PRESS SHOP),19:30:in(PRESS SHOP),",P,2021-07-04 06:39:24.357,NULL
1211,3713,2021-06-20,"06:50:in(PRESS SHOP),06:58:out(PRESS SHOP),15:00:in(PRESS SHOP),",P,2021-07-04 06:40:14.083,NULL
1238,5052,2021-07-11,"VAIBHAV,DHIRAJ",,2021-07-11 09:06:11.893,BioMetric in multiple DB files.
1239,5053,2021-07-11,",VAIBHAV,DHIRAJ",,2021-07-11 09:06:11.960,BioMetric in multiple DB files.
1240,12011,2021-07-11,",ASHEESH,RAJESHSRIVASTAVA",,2021-07-11 09:06:15.850,BioMetric in multiple DB files.
1241,16065,2021-07-11,",ASHEESH,ATAL,ROSHAN,RAJESHSRIVASTAVA",,2021-07-11 09:06:17.700,BioMetric in multiple DB files.
1242,4312,2021-07-11,",ASHEESH,ATAL,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.470,BioMetric in multiple DB files.
1243,4325,2021-07-11,",ASHEESH,ATAL,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.530,BioMetric in multiple DB files.
1244,4303,2021-07-11,",ASHEESH,ATAL,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.600,BioMetric in multiple DB files.
1245,4314,2021-07-11,",ASHEESH,ATAL,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.653,BioMetric in multiple DB files.
1246,4305,2021-07-11,",ASHEESH,ATAL,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.733,BioMetric in multiple DB files.
1247,4370,2021-07-11,",ASHEESH,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.800,BioMetric in multiple DB files.
1248,4344,2021-07-11,",ATAL,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.870,BioMetric in multiple DB files.
1249,4338,2021-07-11,",ASHEESH,ATAL,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:18.957,BioMetric in multiple DB files.
1250,4346,2021-07-11,",ASHEESH,ATAL,ROSHAN,ASHUTOSH,RAJESHSRIVASTAVA",,2021-07-11 09:06:19.270,BioMetric in multiple DB files.
1251,10004,2021-07-11,",ATAL,DHIRAJ",,2021-07-11 09:06:23.200,BioMetric in multiple DB files.
1252,4334,2021-07-11,",DHIRAJ,ASHUTOSH",,2021-07-11 09:06:23.900,BioMetric in multiple DB files.
1253,4315,2021-07-11,",DHIRAJ,ASHUTOSH",,2021-07-11 09:06:23.970,BioMetric in multiple DB files.
1254,4389,2021-07-11,",DHIRAJ,ASHUTOSH",,2021-07-11 09:06:24.033,BioMetric in multiple DB files.
1255,4391,2021-07-11,",DHIRAJ,ASHUTOSH",,2021-07-11 09:06:24.100,BioMetric in multiple DB files.
1256,4654,2021-07-11,",ASHEESH,ATAL",,2021-07-11 09:06:24.170,BioMetric in multiple DB files.
1257,4653,2021-07-11,",ASHEESH,ATAL",,2021-07-11 09:06:24.233,BioMetric in multiple DB files.
